Name,Change,Reason,Date
secretsnail,+4,author of 8638,Feb 23 2022
G.,+4,author of 8639,Feb 23 2022
Jason,+3,author of 8642,Feb 23 2022
G.,+3,vote against 8642,Feb 23 2022
secretsnail,+3,vote against 8643,Feb 23 2022
Jason,+2,author of 8644,Feb 23 2022
ais523,+1,coauthor of 8644,Feb 23 2022
secretsnail,+3,vote against 8644,Feb 23 2022
ATMunn,+4,author of 8645,Mar 15 2022
nix,+1,coauthor of 8645,Mar 15 2022
secretsnail,+3,vote against 8645,Mar 15 2022
Jason,+4,author of 8646,Mar 15 2022
G.,+1,coauthor of 8646,Mar 15 2022
ais523,+1,coauthor of 8646,Mar 15 2022
secretsnail,+3,vote against 8646,Mar 15 2022
secretsnail,+2,author of 8648,Mar 15 2022
Jason,+2,author of 8650,Mar 15 2022
nix,+2,vote against 8650,Mar 15 2022
G.,+3,vote against 8650,Mar 15 2022
secretsnail,+13,vote against 8650,Mar 15 2022
Jason,+2,author of 8651,Mar 15 2022
Aspen,+1,coauthor of 8651,Mar 15 2022
secretsnail,+3,vote against 8651,Mar 15 2022
ais523,+2,author of 8653,Mar 15 2022
nix,+2,vote against 8653,Mar 15 2022
G.,+3,vote against 8653,Mar 15 2022
secretsnail,+13,vote against 8653,Mar 15 2022
G.,+2,author of 8654,Mar 15 2022
Aspen,+3,vote against 8654,Mar 15 2022
